序号,分类,素材ID,名称,相对路径,宽,高,来源图集
1,角色立绘,deepseek_pose_01,DeepSeek · 姿态 1,assets/characters/deepseek_pose_01.png,384,384,sources/latest/01_characters.png
2,角色立绘,deepseek_pose_02,DeepSeek · 姿态 2,assets/characters/deepseek_pose_02.png,384,384,sources/latest/01_characters.png
3,角色立绘,glm_pose_01,GLM · 姿态 1,assets/characters/glm_pose_01.png,384,384,sources/latest/01_characters.png
4,角色立绘,glm_pose_02,GLM · 姿态 2,assets/characters/glm_pose_02.png,384,384,sources/latest/01_characters.png
5,角色立绘,gpt_pose_01,ChatGPT / GPT · 姿态 1,assets/characters/gpt_pose_01.png,384,384,sources/latest/01_characters.png
6,角色立绘,gpt_pose_02,ChatGPT / GPT · 姿态 2,assets/characters/gpt_pose_02.png,384,384,sources/latest/01_characters.png
7,角色立绘,claude_pose_01,Claude · 姿态 1,assets/characters/claude_pose_01.png,384,384,sources/latest/01_characters.png
8,角色立绘,claude_pose_02,Claude · 姿态 2,assets/characters/claude_pose_02.png,384,384,sources/latest/01_characters.png
9,角色立绘,gemini_pose_01,Gemini · 姿态 1,assets/characters/gemini_pose_01.png,384,384,sources/latest/01_characters.png
10,角色立绘,gemini_pose_02,Gemini · 姿态 2,assets/characters/gemini_pose_02.png,384,384,sources/latest/01_characters.png
11,角色立绘,kimi_pose_01,Kimi · 姿态 1,assets/characters/kimi_pose_01.png,384,384,sources/latest/01_characters.png
12,角色立绘,kimi_pose_02,Kimi · 姿态 2,assets/characters/kimi_pose_02.png,384,384,sources/latest/01_characters.png
13,角色头像,deepseek_avatar,DeepSeek · 头像,assets/avatars/deepseek_avatar.png,384,384,sources/latest/02_avatars.png
14,角色头像,glm_avatar,GLM · 头像,assets/avatars/glm_avatar.png,384,384,sources/latest/02_avatars.png
15,角色头像,gpt_avatar,ChatGPT / GPT · 头像,assets/avatars/gpt_avatar.png,384,384,sources/latest/02_avatars.png
16,角色头像,claude_avatar,Claude · 头像,assets/avatars/claude_avatar.png,384,384,sources/latest/02_avatars.png
17,角色头像,gemini_avatar,Gemini · 头像,assets/avatars/gemini_avatar.png,384,384,sources/latest/02_avatars.png
18,角色头像,kimi_avatar,Kimi · 头像,assets/avatars/kimi_avatar.png,384,384,sources/latest/02_avatars.png
19,普通棋子,deepseek_tile_portrait,DeepSeek · 头像棋子,assets/tiles/deepseek_tile_portrait.png,384,384,sources/latest/03_tiles.png
20,普通棋子,glm_tile_portrait,GLM · 头像棋子,assets/tiles/glm_tile_portrait.png,384,384,sources/latest/03_tiles.png
21,普通棋子,gpt_tile_portrait,ChatGPT / GPT · 头像棋子,assets/tiles/gpt_tile_portrait.png,384,384,sources/latest/03_tiles.png
22,普通棋子,claude_tile_portrait,Claude · 头像棋子,assets/tiles/claude_tile_portrait.png,384,384,sources/latest/03_tiles.png
23,普通棋子,gemini_tile_portrait,Gemini · 头像棋子,assets/tiles/gemini_tile_portrait.png,384,384,sources/latest/03_tiles.png
24,普通棋子,kimi_tile_portrait,Kimi · 头像棋子,assets/tiles/kimi_tile_portrait.png,384,384,sources/latest/03_tiles.png
25,普通棋子,deepseek_tile_symbol,DeepSeek · 主题符号棋子,assets/tiles/deepseek_tile_symbol.png,384,384,sources/latest/03_tiles.png
26,普通棋子,glm_tile_symbol,GLM · 主题符号棋子,assets/tiles/glm_tile_symbol.png,384,384,sources/latest/03_tiles.png
